cnty,year,legid,ElectionTotalVotes,TotalSeats,rd,p1s,p1v,p2s,p2v,p3s,p3v,p4s,p4v,p5s,p5v,p6s,p6v,p7s,p7v,p8s,p8v,p9s,p9v,p10s,p10v,p11s,p11v,p12s,p12v,p13s,p13v,p14s,p14v,p15s,p15v,p16s,p16v,p17s,p17v,p18s,p18v,p19s,p19v,p20s,p20v,p21s,p21v,p22s,p22v,p23s,p23v,p24s,p24v,p25s,p25v,p26s,p26v,p27s,p27v,p28s,p28v,p29s,p29v,p30s,p30v,p31s,p31v,p32s,p32v,p33s,p33v,p34s,p34v,p35s,p35v,p36s,p36v,p37s,p37v,p38s,p38v,p39s,p39v,p40s,p40v,p41s,p41v,p42s,p42v,p43s,p43v,p44s,p44v,p45s,p45v,p46s,p46v,p47s,p47v,p48s,p48v,p49s,p49v,p50s,p50v,p51s,p51v,p52s,p52v,p53s,p53v,p54s,p54v,p55s,p55v,p56s,p56v,p57s,p57v,p58s,p58v,p59s,p59v,p60s,p60v,p61s,p61v,p62s,p62v,p63s,p63v,p64s,p64v,p65s,p65v,p66s,p66v,p67s,p67v,p68s,p68v,p69s,p69v,p70s,p70v,p71s,p71v,p72s,p72v,p73s,p73v,p74s,p74v,p75s,p75v,p76s,p76v,p77s,p77v,p78s,p78v,p79s,p79v,p80s,p80v,p81s,p81v,p82s,p82v,p83s,p83v,p84s,p84v,p85s,p85v,p86s,p86v,p87s,p87v,p88s,p88v,p89s,p89v,p90s,p90v,p91s,p91v,p92s,p92v,p93s,p93v,p94s,p94v,p95s,p95v,p96s,p96v,p97s,p97v,p98s,p98v,p99s,p99v,p100s,p100v,p101s,p101v,p102s,p102v,p103s,p103v,p104s,p104v,p105s,p105v,p106s,p106v,p107s,p107v,p108s,p108v,p109s,p109v,p110s,p110v,p111s,p111v,p112s,p112v,p113s,p113v,p114s,p114v,p115s,p115v,p116s,p116v,p117s,p117v,p118s,p118v,p119s,p119v,p120s,p120v,p121s,p121v,p122s,p122v,p123s,p123v,p124s,p124v,p125s,p125v,p126s,p126v,p127s,p127v,p128s,p128v,p129s,p129v,p130s,p130v,p131s,p131v,p132s,p132v,p133s,p133v,p134s,p134v,p135s,p135v,p136s,p136v,p137s,p137v,p138s,p138v,p139s,p139v,p140s,p140v,p141s,p141v,p142s,p142v,p143s,p143v,p144s,p144v,p145s,p145v,p146s,p146v,p147s,p147v,p148s,p148v,p149s,p149v,p150s,p150v,p151s,p151v,p152s,p152v,p153s,p153v,p154s,p154v,p155s,p155v,p156s,p156v,p157s,p157v,p158s,p158v,p159s,p159v,p160s,p160v,p161s,p161v,p162s,p162v,p163s,p163v,p164s,p164v,p165s,p165v,p166s,p166v,p167s,p167v,p168s,p168v,p169s,p169v
Netherlands,1948,1,4932959,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13,651612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,453226,0,0,0,0,0,0,8,382001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1531154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62376,0,0,0,0,0,0,0,40949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1263058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,116937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,391925,0,15322,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1952,1,5335745,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,603329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,476195,0,0,0,0,0,0,6,328621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,2,144520,30,1529508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1545867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18010,0,0,0,0,0,0,2,129081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,471040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1956,1,5727742,150,0,0,0,0,0,0,0,0,0,0,0,0,0,15,567535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,482918,0,0,0,0,0,0,7,272054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1815310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19503,0,28960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1872209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,129517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,502530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1959,1,5999531,150,0,0,0,0,0,0,0,0,0,0,0,0,0,14,563091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,0,34723,0,0,0,0,0,0,0,0,0,0,12,486429,0,0,0,0,0,0,3,144542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1895914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110499,0,0,0,0,0,0,0,0,0,0,0,0,48,1821285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,129678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,732658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1963,1,6258521,150,0,0,0,0,0,0,0,0,0,0,0,0,0,13,545836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,133231,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,13,536801,0,0,0,0,0,0,4,173325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1995352,0,0,0,0,0,0,0,0,0,0,0,21048,0,0,0,22353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,189373,0,0,0,0,0,37554,0,0,0,0,0,0,43,1753084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,143818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,643839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1967,1,6878030,150,0,0,0,0,0,0,0,0,0,0,0,0,0,15,681060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,327953,0,0,0,0,0,0,0,0,0,0,0,976,0,0,12,560033,0,45335,0,0,0,0,5,248318,0,0,0,0,0,0,0,0,0,45421,0,0,0,0,7,307810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1822894,0,0,0,0,0,0,0,17594,0,0,0,0,0,0,0,0,0,11279,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,1669,0,0,0,0,0,916,0,0,0,3560,0,0,0,0,0,4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,197216,0,0,0,0,0,0,0,0,0,0,0,0,37,1620112,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,43361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,738202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1971,1,6318152,150,0,0,0,0,0,0,0,0,0,0,26878,0,0,13,542742,0,0,0,0,0,0,0,0,0,21488,0,5739,0,1840,0,15137,1,69656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,399106,0,0,0,0,0,0,6,246569,0,0,0,0,0,0,0,0,0,0,0,0,0,7189,11,428067,0,0,8,336719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,101790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21982,0,0,0,0,35,1379672,0,0,0,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24376,0,0,2,95706,0,0,0,0,0,0,0,0,0,0,0,0,0,23047,0,0,0,0,2,90738,0,0,0,0,0,0,0,0,0,0,0,0,39,1554280,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,116049,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,148192,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,0,0,16,653370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1972,1,7394045,150,0,0,0,0,0,0,0,0,0,0,0,0,0,14,653609,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,3,143239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,354463,0,0,0,0,0,0,7,330398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,307048,0,0,6,304714,0,41262,0,0,0,0,0,0,0,0,0,0,0,0,2,131236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1305401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32970,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,2,111262,0,0,0,0,0,0,0,0,0,0,0,0,43,2021454,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,354829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,163114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1068375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1977,1,8317612,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2652278,0,0,2,143481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,452423,0,2150,1,59487,0,0,0,0,0,0,0,197,0,0,0,4379,0,0,1,79421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,33434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77972,0,0,0,0,0,0,0,0,0,0,0,0,53,2813793,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53220,0,0,0,0,0,33227,0,0,0,0,0,0,0,0,0,0,0,24420,0,0,0,0,0,0,0,0,3,177010,0,0,0,0,0,0,0,0,0,0,0,4110,0,0,0,0,28,1492689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1981,1,8690837,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12242,0,0,0,0,0,0,0,0,0,0,48,2677259,0,0,3,178292,0,0,0,0,0,0,0,0,0,0,0,464,0,0,17,961121,0,0,0,48568,0,0,0,0,0,0,0,0,0,45189,0,0,0,0,1,70878,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,10641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,184422,0,0,0,0,0,0,0,0,0,826,0,0,44,2458452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,3,171042,0,0,0,0,0,0,0,0,0,2080,0,0,0,17371,2,108364,0,0,0,0,0,20812,0,3377,0,0,0,0,0,0,0,0,0,30380,0,0,0,0,0,0,0,0,3,171324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1505311,0,0,0,0,0,0,0,0,0,0,0,0,0,891
